shoKisaiHokenshaNo,DbUDD003HokenshaNo,HokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,被保険者番号,A
rirekiNo,int2,int,,,,,履歴番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
serviceCode,DbUDD007ServiceCode,ServiceCode,,,,,サービスコード,A
jutakuKaishuJigyoshaMeisho,UDD042AtenaMeisho,AtenaMeisho,,,,,介護住宅改修事業者名称,A
jutakuKaishuChakkoYMD,UDD015YMD,FlexibleDate,,,,,介護住宅改修着工年月日,A
jutakuKaishuJushoShozaisha,UDD042AtenaMeisho,AtenaMeisho,,,,,介護住宅改修住宅所有者,A
kaishuTaishoJutakuJusho,varchar,RString,,,,,改修対象住宅住所,A
kaishuNaiyo_kasho_Kibo,varchar,RString,,,,,改修内容・箇所及び規模,A
riyushoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,介護住宅改修理由書作成年月日,A
riyushoSakuseiJigyoshaNo,DbUDD004JigyoshaNo,JigyoshaNo,,,,,介護住宅改修理由書作成事業者番号,A
riyushoSakuseishaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,介護住宅改修理由書作成者名,A
riyushoSakuseishaShikaku,varchar,RString,,,,,介護住宅改修理由書作成者資格,A
riyushoSakuseiShinseiYMD,UDD015YMD,FlexibleDate,,,,,介護住宅改修理由書作成申請年月日,A
riyushoSakuseiUketsukeYMD,UDD015YMD,FlexibleDate,,,,,介護住宅改修理由書作成受付年月日,A
